hr_b,hr_g,mrr_b,mrr_g,f1_b,f1_g
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.23529411764705882,0.47058823529411764
1.0,1.0,1.0,1.0,0.9523809523809523,0.9523809523809523
1.0,1.0,1.0,1.0,0.18181818181818182,0.18181818181818182
1.0,1.0,0.5,0.5,0.33333333333333337,0.33333333333333337
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.5,0.5,0.14285714285714288,0.28571428571428575
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.125,0.1111111111111111,0.18181818181818182,0.18181818181818182
1.0,1.0,0.14285714285714285,0.1,0.18181818181818182,0.18181818181818182
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.13333333333333333,0.13333333333333333
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.08403361344537816,0.10084033613445378
1.0,1.0,0.25,0.25,0.4615384615384615,0.4615384615384615
1.0,1.0,0.5,0.5,0.18181818181818182,0.18181818181818182
1.0,1.0,0.3333333333333333,0.3333333333333333,0.4,0.5333333333333333
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.16666666666666666,0.0,0.16666666666666669
1.0,1.0,1.0,1.0,0.33333333333333337,0.33333333333333337
1.0,1.0,1.0,1.0,0.13333333333333333,0.13333333333333333
1.0,1.0,1.0,1.0,0.3076923076923077,0.5384615384615384
0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.1111111111111111,0.0,0.125,0.0
0.0,1.0,0.0,0.14285714285714285,0.0,0.18181818181818182
1.0,1.0,1.0,1.0,0.18181818181818182,0.18181818181818182
1.0,1.0,0.5,0.5,0.18181818181818182,0.18181818181818182
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.25,0.14285714285714285,0.13333333333333333,0.13333333333333333
0.0,1.0,0.0,0.16666666666666666,0.0,0.18181818181818182
1.0,1.0,1.0,1.0,0.33333333333333337,0.33333333333333337
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.16666666666666669,0.33333333333333337
0.0,1.0,0.0,0.1,0.0,0.16666666666666669
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.8571428571428572,0.9523809523809523
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.16666666666666669,0.16666666666666669
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.14285714285714285,0.1,0.16666666666666669,0.16666666666666669
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.33333333333333337,0.33333333333333337
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.16666666666666669,0.16666666666666669
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.16666666666666666,0.2,0.25,0.37499999999999994
1.0,0.0,0.125,0.0,0.18181818181818182,0.0
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.3333333333333333,0.3333333333333333,0.18181818181818182,0.18181818181818182
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.5,0.5,0.18181818181818182,0.18181818181818182
1.0,1.0,0.25,0.25,0.16666666666666669,0.16666666666666669
1.0,1.0,1.0,1.0,0.208955223880597,0.208955223880597
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.23076923076923075,0.4615384615384615
0.0,1.0,0.0,0.2,0.0,0.33333333333333337
1.0,1.0,0.25,0.25,0.16666666666666669,0.16666666666666669
1.0,1.0,1.0,1.0,0.16666666666666669,0.16666666666666669
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.1,0.0,0.14285714285714288,0.0
1.0,1.0,1.0,1.0,0.30769230769230765,0.4615384615384615
1.0,1.0,0.2,0.16666666666666666,0.18181818181818182,0.18181818181818182
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.14285714285714285,0.0,0.30769230769230765
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.18181818181818182,0.18181818181818182
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.3333333333333333,0.3333333333333333,0.18181818181818182,0.18181818181818182
1.0,1.0,0.125,0.1,0.029850746268656716,0.029850746268656716
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.5,0.5,0.37499999999999994,0.37499999999999994
0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.16666666666666666,0.0,0.26666666666666666
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.9523809523809523,0.9523809523809523
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.25,0.25,0.16666666666666669,0.16666666666666669
1.0,1.0,0.3333333333333333,0.3333333333333333,0.18181818181818182,0.18181818181818182
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.3157894736842105,0.3157894736842105
0.0,1.0,0.0,0.1,0.0,0.14285714285714288
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.3333333333333333,0.3333333333333333,0.18181818181818182,0.18181818181818182
1.0,1.0,0.25,0.25,0.15384615384615383,0.15384615384615383
1.0,1.0,0.3333333333333333,0.3333333333333333,0.16666666666666669,0.16666666666666669
1.0,1.0,0.5,0.5,0.15384615384615383,0.15384615384615383
1.0,1.0,0.2,0.25,0.16666666666666669,0.33333333333333337
1.0,1.0,0.5,0.5,0.23076923076923075,0.3076923076923077
1.0,1.0,1.0,1.0,0.18181818181818182,0.18181818181818182
1.0,1.0,0.125,0.125,0.13333333333333333,0.13333333333333333
1.0,1.0,0.2,0.25,0.16666666666666669,0.33333333333333337
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.25,0.25,0.18181818181818182,0.18181818181818182
1.0,1.0,0.3333333333333333,0.3333333333333333,0.18181818181818182,0.18181818181818182
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.26865671641791045,0.26865671641791045
1.0,1.0,1.0,1.0,0.3076923076923077,0.6153846153846154
1.0,1.0,1.0,1.0,0.9523809523809523,0.9523809523809523
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.3333333333333333,0.3333333333333333,0.4,0.4
1.0,1.0,0.14285714285714285,0.25,0.18181818181818182,0.18181818181818182
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.3333333333333333,0.3333333333333333,0.37499999999999994,0.5
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.3333333333333333,0.3333333333333333,0.18181818181818182,0.18181818181818182
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.16666666666666669,0.33333333333333337
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.5,0.5,0.0909090909090909,0.0909090909090909
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.1111111111111111,0.1111111111111111,0.18181818181818182,0.18181818181818182
1.0,1.0,0.3333333333333333,0.3333333333333333,0.15384615384615383,0.15384615384615383
0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.125,0.0,0.18181818181818182,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.3076923076923077,0.5384615384615384
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.18181818181818182,0.18181818181818182
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.2,0.25,0.16666666666666669,0.33333333333333337
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.25,0.14285714285714285,0.18181818181818182,0.18181818181818182
1.0,1.0,1.0,1.0,0.18181818181818182,0.18181818181818182
1.0,1.0,1.0,1.0,0.16666666666666669,0.16666666666666669
1.0,1.0,1.0,1.0,0.18181818181818182,0.18181818181818182
1.0,0.0,0.14285714285714285,0.0,0.15384615384615383,0.0
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.18181818181818182,0.18181818181818182
1.0,1.0,1.0,1.0,0.16666666666666669,0.16666666666666669
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.5000000000000001,0.625
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.18181818181818182,0.18181818181818182
1.0,1.0,0.3333333333333333,0.3333333333333333,0.08695652173913043,0.17391304347826086
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.16666666666666666,0.125,0.11111111111111112,0.11111111111111112
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.16666666666666666,0.5833333333333334
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.5,0.5,0.16666666666666669,0.16666666666666669
1.0,1.0,0.3333333333333333,0.3333333333333333,0.30769230769230765,0.4615384615384615
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.5,0.5,0.07692307692307693,0.23076923076923075
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.2,0.2,0.37499999999999994,0.37499999999999994
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.5,0.5,0.15384615384615383,0.4615384615384615
1.0,1.0,1.0,1.0,0.18181818181818182,0.18181818181818182
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.1111111111111111,0.0,0.18181818181818182
1.0,1.0,0.16666666666666666,0.16666666666666666,0.13333333333333333,0.13333333333333333
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.3333333333333333,0.3333333333333333,0.16666666666666669,0.16666666666666669
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.625,0.625
1.0,1.0,0.3333333333333333,0.3333333333333333,0.16666666666666669,0.16666666666666669
1.0,1.0,1.0,1.0,0.16666666666666669,0.16666666666666669
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.25,0.25,0.08955223880597013,0.08955223880597013
1.0,1.0,0.5,0.5,0.18181818181818182,0.18181818181818182
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.25,0.25,0.30769230769230765,0.30769230769230765
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.25,0.25,0.16666666666666669,0.16666666666666669
1.0,1.0,0.5,0.5,0.28571428571428575,0.28571428571428575
1.0,1.0,0.2,0.2,0.16666666666666669,0.16666666666666669
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.25,0.25,0.18181818181818182,0.18181818181818182
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.18181818181818182,0.18181818181818182
1.0,1.0,1.0,1.0,0.05970149253731343,0.08955223880597013
1.0,1.0,0.3333333333333333,0.3333333333333333,0.11940298507462686,0.11940298507462686
1.0,1.0,0.5,0.5,0.33333333333333337,0.33333333333333337
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.25,0.25,0.18181818181818182,0.18181818181818182
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.5,0.5,0.18181818181818182,0.18181818181818182
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.5,0.5,0.16666666666666669,0.16666666666666669
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.16666666666666666,0.1,0.18181818181818182,0.18181818181818182
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.1111111111111111,0.1111111111111111,0.10526315789473685,0.10526315789473685
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.33333333333333337,0.33333333333333337
1.0,1.0,1.0,1.0,0.4615384615384615,0.4615384615384615
1.0,1.0,0.3333333333333333,0.3333333333333333,0.18181818181818182,0.18181818181818182
1.0,1.0,1.0,1.0,0.4615384615384615,0.4615384615384615
